Term,Project,TopicID,Screen#,Template Type,Category,Status,Type,Title or Non Title,Title,Instruction,Tooltip,Webhost link,Title by
2,MOE_SCI,SC7_L010_Review,3,Hotspot,,Done,,,,Click to see how temperature affects the state of matter.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G7/SC7_L010_Review/app/index.html,Aditi
2,MOE_SCI,SC5_L010_Review,1,Hotspot,,Done,,,,Click the hotspots to learn about negative effects on water.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G5/SC5_L010_Review/app/,Aditi
2,MOE_SCI,SC8_L016_Review,1,Hotspot,,Done,,,,Click the buttons to review electric charges and forces.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G8/SC8_L016_Review/app/index.html,Aditi
2,MOE_SCI,SC5_L011_Learn_02,5,Hotspot,,Done,,,,Click to learn how glaciers affect erosion and deposition.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G5/SC5_L011_Learn_02/app/index.html,Aditi
2,MOE_SCI,SC8_L017_Review,1,Hotspot,,Done,,,,Click on the image to review simple circuits.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G8/SC8_L017_Review/app/index.html,Aditi
2,MOE_SCI,SC7_L011_Review,1,Hotspot,,Done,,,,Let's review pressure changes and types of relationships.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G7/SC7_L011_Review/app/index.html,Aditi
2,MOE_SCI,SC5_L011_Review,1,Hotspot,,Done,,,,Click the spots to review erosion and deposition.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G5/SC5_L011_Review/app/,Aditi
2,MOE_SCI,SC5_L012_Learn_1,6,Hotspot,,Done,,,,Click the spots to learn how volcanoes form.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G5/SC5_L012_Learn_1/app/,Aditi
2,MOE_SCI,SC8_L018_Review,3,Hotspot,,Done,,,,Click the titles below to review motors and generators.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G8/SC8_L018_Review/app/,Aditi
2,MOE_SCI,SC7_L012_Review,5,Hotspot,,Done,,,,Click through the hotspots.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G7/SC7_L012_Review/app/,Aditi
2,MOE_SCI,SC8_L018_Learn_2,6,Hotspot,,Done,,,,The factors below affect the size of the electric current. ,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Alpha/LOs/MOE/G8/SC8_L018_Learn_2/app/,Aditi
2,MOE_SCI,SC8_L018_Investigate_3,3,Hotspot,,Done,,,,Click the buttons below to set up your investigation. ,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G8/SC8_L018_Investigate_3/app/index.html,Aditi
2,MOE_SCI,SC8_L019_Review,1,Hotspot,,Done,,,,Click the hotspots to review what you learned about wave types.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G8/SC8_L019_Review/app/index.html,Aditi
2,MOE_SCI,SC6_L014_Learn_1,5,Hotspot,,Done,,,,Click each joint to learn more about moveable joints.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G6/SC6_L014_Learn_1/app/index.html,Aditi
2,MOE_SCI,SC5_L013_Review,1,Hotspot,,Done,,,,Click on the hotspots to review weather and climate.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G5/SC5_L013_Review/app/,Aditi
2,MOE_SCI,SC6_L015_Learn_2,3,Hotspot,,Done,,,,Click on the parts of the digestive system to learn more.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G6/SC6_L015_Learn_2/app/index.html,Aditi
2,MOE_SCI,SC8_L020_Learn_1,5,Hotspot,,Done,,,,"The human ear is made of three main areas called the outer, middle, and inner ear.",,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G8/SC8_L020_Learn_1/app/,Aditi
2,MOE_SCI,SC7_L014_SecondLook_2,1,Hotspot,,Done,,,,Click to learn more about the parts of a chemical equation.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G7/SC7_L014_SecondLook_2/app/index.html,Aditi
2,MOE_SCI,SC6_L016_Learn_1,4,Hotspot,,Done,,,,Click each label to learn how animals transport blood.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G6/SC6_L016_Learn_1/app/index.html,Aditi
2,MOE_SCI,SC6_L016_Learn_2,2,Hotspot,,Done,,,,Click the labels to learn about the human respiratory System.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G6/SC6_L016_Learn_2/app/index.html,Aditi
2,MOE_SCI,SC8_L022_Learn_1,3,Hotspot,,Done,,,,Click the parts of the image to learn about the reflection of light.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G8/SC8_L022_Learn_1/app/,Aditi
2,MOE_SCI,SC5_L014_Learn_1,4,Hotspot,,Done,,,,Click the hotspots to learn more about Earth's resources.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G5/SC5_L014_Learn_1/app/,Aditi
2,MOE_SCI,SC6_L016_Investigate_1,5,Hotspot,,Done,,,,,,https://webhost.mitrmedia.com/ftp/alef_simulation_deveopment/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G6/SC6_L016_Investigate_1/app/index.html,Aditi
2,MOE_SCI,SC7_L017_Learn_1,4,Hotspot,,Done,,,,Click to learn about factors that affect soil formation.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G7/SC7_L017_Learn_1/app/index.html,Aditi
2,MOE_SCI,SC8_L023_Learn_1,5,Hotspot,,Done,,,,Click to explore the ray diagrams. ,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G8/SC8_L023_Learn_1/app/index.html,Aditi
2,MOE_SCI,SC6_L017_Learn_1,4,Hotspot,,Done,,,,Click the hotspots to explore the nervous system structure. ,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G6/SC6_L017_Learn_1/app/,Aditi
2,MOE_SCI,SC6_L016_Review,3,Hotspot,,Done,,,,Click each label to review how animals transport materials. ,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G6/SC6_L016_Review/app/index.html,Aditi
2,MOE_SCI,SC7_L018_Learn_2,2,Hotspot,,Done,,,,Click to learn more about overpumping groundwater.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G7/SC7_L018_Learn_2/app/index.html,Aditi
2,MOE_SCI,SC7_L019_Learn_1,5,Hotspot,,Done,,,,Click the hotspots to learn more about synthetic materials.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G7/SC7_L019_Learn_1/app/,Aditi
2,MOE_SCI,SC7_L019_Investigate_1,6,Hotspot,,Done,,,,How are synthetic materials created?,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G7/SC7_L019_Investigate_1/app/index.html,Aditi
2,MOE_SCI,SC6_L017_Learn_2,4,Hotspot,,Done,,,,Click to learn about the structure and function of the eye.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G6/SC6_L017_Learn_2/app/index.html,Aditi
2,MOE_SCI,SC6_L017_Review,3,Hotspot,,Done,,,,Click on each sence to review how it works.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G6/SC6_L017_Review/app/index.html,Aditi
